threshold,total_channels,pruned_channels,pruning_percentage,accuracy_before,accuracy_after,accuracy_drop,inference_time_before,inference_time_after,speedup,efficiency_score
0,96,49,51.04,68.00,68.00,0.00,8.869000,5.318000,1.67,100.00
10,96,52,54.17,68.00,68.00,0.00,8.869000,4.953000,1.79,100.00
20,96,52,54.17,68.00,68.00,0.00,8.869000,4.988000,1.78,100.00
30,96,52,54.17,68.00,68.00,0.00,8.869000,4.940000,1.80,100.00
40,96,53,55.21,68.00,68.00,0.00,8.869000,4.925000,1.80,100.00
50,96,53,55.21,68.00,68.00,0.00,8.869000,4.831000,1.84,100.00
60,96,54,56.25,68.00,70.00,-2.00,8.869000,4.680000,1.90,100.00
70,96,55,57.29,68.00,70.00,-2.00,8.869000,4.653000,1.91,100.00
80,96,56,58.33,68.00,70.00,-2.00,8.869000,4.526000,1.96,100.00
90,96,57,59.38,68.00,68.00,0.00,8.869000,4.348000,2.04,100.00
100,96,58,60.42,68.00,66.00,2.00,8.869000,4.300000,2.06,1.03
110,96,58,60.42,68.00,66.00,2.00,8.869000,4.312000,2.06,1.03
120,96,58,60.42,68.00,66.00,2.00,8.869000,4.358000,2.04,1.02
130,96,58,60.42,68.00,66.00,2.00,8.869000,4.343000,2.04,1.02
140,96,58,60.42,68.00,66.00,2.00,8.869000,4.479000,1.98,0.99
150,96,58,60.42,68.00,66.00,2.00,8.869000,4.506000,1.97,0.98
160,96,58,60.42,68.00,66.00,2.00,8.869000,4.396000,2.02,1.01
170,96,59,61.46,68.00,66.00,2.00,8.869000,4.218000,2.10,1.05
180,96,59,61.46,68.00,66.00,2.00,8.869000,4.411000,2.01,1.01
190,96,60,62.50,68.00,66.00,2.00,8.869000,4.130000,2.15,1.07
200,96,60,62.50,68.00,66.00,2.00,8.869000,4.083000,2.17,1.09
201,96,60,62.50,68.00,66.00,2.00,8.869000,4.073000,2.18,1.09
202,96,60,62.50,68.00,66.00,2.00,8.869000,4.092000,2.17,1.08
203,96,60,62.50,68.00,66.00,2.00,8.869000,4.472000,1.98,0.99
204,96,60,62.50,68.00,66.00,2.00,8.869000,4.256000,2.08,1.04
205,96,60,62.50,68.00,66.00,2.00,8.869000,4.078000,2.17,1.09
206,96,60,62.50,68.00,66.00,2.00,8.869000,4.171000,2.13,1.06
207,96,60,62.50,68.00,66.00,2.00,8.869000,4.289000,2.07,1.03
208,96,60,62.50,68.00,66.00,2.00,8.869000,4.147000,2.14,1.07
209,96,60,62.50,68.00,66.00,2.00,8.869000,4.108000,2.16,1.08
210,96,60,62.50,68.00,66.00,2.00,8.869000,4.095000,2.17,1.08
211,96,60,62.50,68.00,66.00,2.00,8.869000,4.093000,2.17,1.08
212,96,60,62.50,68.00,66.00,2.00,8.869000,4.084000,2.17,1.09
213,96,60,62.50,68.00,66.00,2.00,8.869000,4.123000,2.15,1.08
214,96,60,62.50,68.00,66.00,2.00,8.869000,4.059000,2.19,1.09
215,96,60,62.50,68.00,66.00,2.00,8.869000,4.281000,2.07,1.04
216,96,60,62.50,68.00,66.00,2.00,8.869000,4.158000,2.13,1.07
217,96,60,62.50,68.00,66.00,2.00,8.869000,4.085000,2.17,1.09
218,96,60,62.50,68.00,66.00,2.00,8.869000,4.077000,2.18,1.09
219,96,60,62.50,68.00,66.00,2.00,8.869000,4.121000,2.15,1.08
220,96,60,62.50,68.00,66.00,2.00,8.869000,4.089000,2.17,1.08
221,96,60,62.50,68.00,66.00,2.00,8.869000,4.112000,2.16,1.08
222,96,60,62.50,68.00,66.00,2.00,8.869000,4.141000,2.14,1.07
223,96,60,62.50,68.00,66.00,2.00,8.869000,4.163000,2.13,1.07
224,96,60,62.50,68.00,66.00,2.00,8.869000,4.107000,2.16,1.08
225,96,60,62.50,68.00,66.00,2.00,8.869000,4.184000,2.12,1.06
226,96,60,62.50,68.00,66.00,2.00,8.869000,4.179000,2.12,1.06
227,96,60,62.50,68.00,66.00,2.00,8.869000,4.105000,2.16,1.08
228,96,60,62.50,68.00,66.00,2.00,8.869000,4.113000,2.16,1.08
229,96,60,62.50,68.00,66.00,2.00,8.869000,4.075000,2.18,1.09
230,96,60,62.50,68.00,66.00,2.00,8.869000,4.408000,2.01,1.01
231,96,60,62.50,68.00,66.00,2.00,8.869000,4.097000,2.16,1.08
232,96,61,63.54,68.00,66.00,2.00,8.869000,3.919000,2.26,1.13
233,96,61,63.54,68.00,66.00,2.00,8.869000,3.961000,2.24,1.12
234,96,61,63.54,68.00,66.00,2.00,8.869000,3.945000,2.25,1.12
235,96,61,63.54,68.00,66.00,2.00,8.869000,4.045000,2.19,1.10
236,96,61,63.54,68.00,66.00,2.00,8.869000,3.936000,2.25,1.13
237,96,61,63.54,68.00,66.00,2.00,8.869000,3.976000,2.23,1.12
238,96,61,63.54,68.00,66.00,2.00,8.869000,4.057000,2.19,1.09
239,96,61,63.54,68.00,66.00,2.00,8.869000,3.976000,2.23,1.12
